data_vendita|prezzo_base|offerta_minima|indirizzo|data_aggiornamento|url_annuncio|coordinate|parsed_address
05/07/5023 09:30|€ 35.250,00|€ 26.500,00|   LOCALITA' LUNGO TANARO SAN MARTINO 25 - 15100 Alessandria (AL)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT8016030&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
28/09/2918 15:00|€ 83.000,00|€ 62.250,00|   via Carlo Pisacane 55 - 10127 Torino (TO)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT605756&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(45.0138564, 7.65215)|55 int. 7 int. A, Via Carlo Pisacane, Basse di Mirafiori, Circoscrizione 2, Torino, Piemonte, 10127, Italia
21/04/2202 16:00|€ 45.000,00|€ 33.750,00|   VIA CLAUDIO MONTEVERDI, 203 - INT. 8 Statte (TA)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT3840044&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
22/10/2109 09:00|€ 102.000,00|€ 76.500,00|   Via Martiri Di Otranto ang. Don Minzoni - 73010 Veglie (LE)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT2159770&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
26/02/2109 11:15|€ 4.707,00|€ 3.530,25|   via di bella 40 Partinico (PA)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT1284461&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(38.0476328, 13.1192713)|Via Di Bella, Partinico, Palermo, Sicilia, 90047, Italia
31/10/2108 10:00|€ 30.500,00|€ 22.875,00|   Contrada Mercato Senise (PZ)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT696362&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
04/06/2108 09:30|€ 254.000,00|€ 190.500,00|   Piazza Gazzoletti 3 - 38069 Nago-Torbole (TN)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT911472&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(45.8763553, 10.88964731047766)|Piazza Gazzoletti, Nago, Nago-Torbole, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia
22/12/2050 10:00|€ 56.000,00|€ 56.000,00|   via volturno, n. 62 Rovigo (RO)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT5823918&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(45.106932, 11.8337179)|Via Volturno, Mardimago, Rovigo, Veneto, Italia
31/07/2040 14:00|€ 27.061,00|€ 27.061,00|   via clementina, n. 89 - 60048 Serra San Quirico (AN)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT8347748&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(43.4347494, 13.0176525)|Via Clementina Sud, Zona Industriale Serralta, Serra San Quirico, Ancona, Marche, 60048, Italia
15/10/2030 10:00|€ 92.137,00|€ 69.103,00|   frazione serradiga, n. snc Fabriano (AN)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT5656051&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
22/10/2024 12:00|€ 36.800,00|€ 36.800,00|   Via Pietrafredda Rapallo (GE)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT8713171&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=|(44.3437829, 9.2125932)|Via Pietrafredda, Pietrafredda, Rapallo, Genova, Liguria, 16035, Italia
04/06/2024 12:00|€ 59.374,69|€ 44.531,02|   Via Pio VII 11 - 04010 Sonnino (LT)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT8807615&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
28/05/2024 10:00|€ 90.720,00|€ 68.040,00|   Via Fioretti 11, Fraz. Piediripa - 62100 Macerata (MC)     |2023-12-28|https://pvp.giustizia.it/pvp/it/dettaglio_annuncio.page?localita=&ordinamento=data_vendita_decre&anno=&disponibilita=&searchresults=true&categoria=immobile_residenziale&indirizzo=&contentId=LTT8848805&elementiPerPagina=20&ricerca_libera=&ordine_localita=a_z&regione=&idInserzione=&tipo_bene=immobili&geo=geografica&view=tab&prezzo_da=&procedura=&nazione=ITA&prezzo_a=&tribunale=||
